Year,Month,Day,Hour(UTC),Minute(UTC),Second(UTC),Latitude (deg),Longitude (deg),Altitude (km),Cd,Aref (m2)
2022,2,5,7,37,33.079366,49.8674103537633,34.6457317900594,244.301277231089,5.85545499005853,1.56852280491791
2022,2,5,7,38,33.07921,48.1994232632998,40.0055225416713,240.480206378403,5.83150696728848,1.53413048604084
2022,2,5,7,39,33.079153,46.2733055408818,44.9924975271893,236.769239356169,5.80849499890889,1.49736240908103
2022,2,5,7,40,33.079096,44.1214108811592,49.6105177312962,233.196051432997,5.79484387898468,1.48844467146722
2022,2,5,7,41,33.079038,41.7740692682957,53.877494602724,229.788882604136,5.79222878679017,1.5175089183499
2022,2,5,7,42,33.078981,39.258791987565,57.8199525301927,226.576014551176,5.74490631673285,1.37948015519562
2022,2,5,7,43,33.078435,36.6000095923142,61.4687494579351,223.585232394002,5.74313206919307,1.41472187923392
2022,2,5,7,44,33.078455,33.8190385330749,64.8562249521997,220.843075146909,5.70644518840168,1.2854990576884
2022,2,5,7,45,33.078268,30.9344860894027,68.0140659066651,218.377616772774,5.70512000337221,1.33263073034945
2022,2,5,7,46,33.078085,27.9624328536851,70.9724359579188,216.212812743835,5.71165084499884,1.40101047524831
2022,2,5,7,47,33.082884,24.9166108188775,73.7595893143336,214.372692605499,5.69579415312792,1.35521144509805
2022,2,5,7,48,33.077851,21.8099943028832,76.4006213406998,212.878459948285,5.78489269999556,1.65200807583133
2022,2,5,7,49,33.078066,18.6525687657969,78.9197785932795,211.748878091041,5.91413827173456,1.87534909492971
2022,2,5,7,50,33.077746,15.454201129502,81.3383886039954,210.998227991752,6.08306365500817,2.0832280785572
2022,2,5,7,51,33.077587,12.2234840204615,83.6763303615463,210.640320269929,6.27984512642685,2.32736762039578
2022,2,5,7,52,33.077405,8.96832165805539,85.9520213230527,210.684394903733,5.94048878961792,1.92662050973632
2022,2,5,7,53,33.078447,5.69598707933557,88.1828072548993,211.135730102906,5.76556199942388,1.57545208545081
2022,2,5,7,54,33.077306,2.41361213992943,90.3850354362835,211.995580586242,5.72326287900344,1.4024957065521
2022,2,5,7,56,33.076886,-4.15506475062632,94.7676436280784,214.927244760382,5.75931659900487,1.42899226666048
2022,2,5,7,57,33.076884,-7.42816746396486,96.9794322196539,216.982426880807,5.88413747281514,1.72877890706323
2022,2,5,7,58,33.082786,-10.6851679951692,99.2264041770713,219.413700951741,5.79450994463556,1.35287581008277
2022,2,5,8,0,33.082691,-17.1208113460154,103.892394134562,225.329890143513,5.86476310103651,1.51146861193786
2022,2,5,8,1,33.076377,-20.2840062143066,106.347722502277,228.770254961785,6.78418847084491,2.65927887692509
2022,2,5,8,2,33.077235,-23.3999163058654,108.911588704067,232.497574060954,7.59517889547216,3.26536013442008
2022,2,5,8,3,33.076571,-26.4582979447027,111.605651865553,236.482019331775,7.76115417086537,3.40324008427628
2022,2,5,8,4,33.076991,-29.4482598329677,114.454028739349,240.692347489773,6.7152101953791,2.60888849823463
2022,2,5,8,5,33.075902,-32.3571310136148,117.482713609026,245.095036403359,6.27895018032456,2.10553327146624
2022,2,5,8,6,33.078447,-35.1707810384711,120.720188753571,249.656790267815,5.94547444726695,1.32126046614579
2022,2,5,8,7,33.075775,-37.8722608903148,124.195980533771,254.341797244393,5.94865582806658,1.14141655193691
2022,2,5,8,8,33.075639,-40.4428925135226,127.941607129673,259.115517129261,5.97812131064009,1.28538359754553
2022,2,5,8,9,33.075517,-42.8607424936022,131.987721291419,263.942388356238,5.99099290679873,1.2473575898574
2022,2,5,8,10,33.076425,-45.1010875348987,136.362662820626,268.78720455156,6.01300721076549,1.30539969015039
2022,2,5,8,11,33.077544,-47.1362595834034,141.088757198277,273.615653206172,6.04535666739189,1.3993844475084
2022,2,5,8,12,33.075295,-48.9361136062908,146.177654472383,278.394822437292,6.06012927369522,1.41532492661126
2022,2,5,8,13,33.075229,-50.4693900492585,151.625912582696,283.093163706813,6.09651157853975,1.50345254394658
2022,2,5,8,14,33.075076,-51.704875109762,157.408037520131,287.681386705891,6.12393550619676,1.55079809514829
2022,2,5,8,15,33.07497,-52.6140904748139,163.473224820595,292.131645577079,6.12990969534096,1.54717318537803
2022,2,5,8,16,33.07554,-53.1740354343283,169.744497479499,296.418983621031,6.14507866494595,1.56953989336127
2022,2,5,8,17,33.076535,-53.3699255787516,176.122857478667,300.520986937481,6.1361920380682,1.53091880221024
2022,2,5,8,18,33.074701,-53.1972543872899,-177.503435494572,304.417237954503,6.13052560579522,1.50303398018934
2022,2,5,8,19,33.074648,-52.6624431165486,-171.244879189868,308.089933112131,6.12955039363989,1.49188004755262
2022,2,5,8,20,33.074535,-51.7820058316765,-165.199545325878,311.524013667773,6.11184710586759,1.42177010483425
2022,2,5,8,21,33.074373,-50.5804007146077,-159.442980181544,314.708254767361,6.11817195775404,1.44171595003684
2022,2,5,8,22,33.074479,-49.0871890699892,-154.024399621164,317.63254497352,6.10171669270293,1.37625198166679
2022,2,5,8,23,33.074199,-47.3342631374119,-148.9677883213,320.289907659517,6.10513401383166,1.3891520437703
2022,2,5,8,24,33.074147,-45.3534561793705,-144.275951372859,322.676235161513,6.09898408835874,1.36780544923971
2022,2,5,8,25,33.073967,-43.1749636955422,-139.936276567885,324.789296054401,6.09943137878485,1.37598934257148
2022,2,5,8,26,33.073881,-40.8263419373691,-135.926019392444,326.628661952566,6.08912952958053,1.33612571615127
2022,2,5,8,27,33.073756,-38.3321353362264,-132.216844353084,328.196745406392,6.08481309321388,1.32428752120278
2022,2,5,8,28,33.074962,-35.7137562925158,-128.777983498775,329.497113731,6.08663313905416,1.35279341671327
2022,2,5,8,29,33.073455,-32.9899731626502,-125.578811863225,330.533991406125,6.07205923343932,1.28580181227605
2022,2,5,8,30,33.073389,-30.1766177612677,-122.589419949835,331.314301830408,6.06645498365196,1.27566528566945
2022,2,5,8,31,33.073884,-27.2875093659985,-119.782045925896,331.845835136664,6.05906363198968,1.263056015779
2022,2,5,8,32,33.07317,-24.3346207017896,-117.131102763299,332.137024363556,6.05572709629369,1.27822902331646
2022,2,5,8,33,33.073037,-21.3281747012834,-114.61300347754,332.19653936896,6.04405187346078,1.23620861032632
2022,2,5,8,34,33.073406,-18.2771925203419,-112.206275921185,332.033597438646,6.04277649412636,1.26920738778574
2022,2,5,8,35,33.072783,-15.1897186533599,-109.891309181216,331.657219082017,6.03717574372446,1.27131469801916
2022,2,5,8,36,33.073534,-12.0727732993244,-107.649884155095,331.076831313825,6.03200818080002,1.2765385656511
2022,2,5,8,37,33.07834,-8.93271223539609,-105.465047068946,330.301724042827,6.02672580934551,1.28086954249898
2022,2,5,8,38,33.072415,-5.77632715478313,-103.321454856174,329.340890098829,6.01636782850352,1.25102812611199
2022,2,5,8,39,33.072178,-2.60843440794228,-101.203357284549,328.202284468946,6.01755310075777,1.29889000458336
2022,2,5,8,40,33.071973,0.565191492929301,-99.0962425830028,326.893554025224,6.02271899390477,1.36073518802667
2022,2,5,8,41,33.073985,3.73927153553651,-96.9855024101795,325.421179390044,6.00950086221618,1.32325701903159
2022,2,5,8,42,33.07191,6.90803420323065,-94.8567507655714,323.79114738172,6.02406189166456,1.41473979160858
2022,2,5,8,43,33.071652,10.0661890563997,-92.6948306710015,322.008478944853,6.01561392459401,1.40785592363541
2022,2,5,8,44,33.071688,13.20777173121,-90.4842422445584,320.076810393721,6.02249394531829,1.46160064962612
2022,2,5,8,45,33.071543,16.3264247878887,-88.2085585411475,318.000317013408,6.02231264560971,1.4837202230272
2022,2,5,8,46,33.071304,19.4152424875951,-85.8501676863587,315.781932136884,6.05375448029875,1.58627607148479
2022,2,5,8,47,33.072037,22.4666020031518,-83.3899585845122,313.424674780135,6.04671866473758,1.58859514321686
2022,2,5,8,48,33.071973,25.4717744808379,-80.8071884233197,310.930567893784,6.07151975353719,1.6598570930842
2022,2,5,8,49,33.071169,28.4209265511967,-78.0790364608439,308.300600527131,6.04901745275439,1.63369631884561
2022,2,5,8,50,33.070801,31.3027836581651,-75.1804119323751,305.537549860144,6.0378047647952,1.62857670712423
2022,2,5,8,51,33.071309,34.1042462579337,-72.0839344791821,302.643677084954,6.05212432812198,1.67216139766857
2022,2,5,8,52,33.07207,36.8100261765071,-68.7600699390788,299.62129839745,6.03787898515754,1.66391326936713
2022,2,5,8,53,33.07255,39.4023391477882,-65.1775324152549,296.47308639345,6.04721686109293,1.69934509770866
2022,2,5,8,54,33.070218,41.8604697487281,-61.3044013438933,293.202604370681,6.04964371169984,1.72448465138237
2022,2,5,8,55,33.069957,44.1608687544994,-57.1092426312799,289.81407395784,6.00902778063425,1.66326300557257
2022,2,5,8,56,33.069966,46.2764534857141,-52.5647933662951,286.313308822935,6.02149619879009,1.7053043816797
2022,2,5,8,57,33.06971,48.1771463342577,-47.6515122035949,282.706782470581,5.98796956205659,1.65811301793514
2022,2,5,8,58,33.069522,49.8305135709886,-42.3628397713982,279.002982885433,5.97303946541039,1.64704874759686
2022,2,5,8,59,33.069691,51.2030720874861,-36.7112458371947,275.212115973955,5.98888159420377,1.70115640068071
2022,2,5,9,0,33.069294,52.2623737086225,-30.733863678545,271.345959849457,5.93997881380255,1.61423653154542
2022,2,5,9,1,33.068985,52.9798413877728,-24.4953485362455,267.418250912737,5.92867981282024,1.60861252689138
2022,2,5,9,2,33.068888,53.3338077165726,-18.0866976651397,263.44504104251,5.94102909193696,1.66419156505666
2022,2,5,9,3,33.068645,53.3122697765106,-11.6181287892505,259.444073771817,5.92140782941303,1.6429593618392
2022,2,5,9,4,33.069665,52.9145298195119,-5.20675642496372,255.434934396227,5.89379609906414,1.60151234933503
2022,2,5,9,5,33.069209,52.1512842815844,1.03686245995961,251.439198777353,5.84764688328843,1.49694907598601
